項番	番号	都道府県	遺跡名	所在地	サンプル採取地点等	試料の種類	試料コード1	試料コード2	時代	時代詳細	時代コード	試料番号	測定方法	C14年代	C14年代±	暦年較正用C14年代	暦年較正用C14年代±	δ13C（AMS）	δ13C（AMS）±	δ13C（IRMS）	分析者（著者）	分析機関	刊行年	報告タイトル	ページ	備考	報告書名	発行者
434	7438	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,　L185 地層C(第2第3泥炭間層)	材	T	d	縄文時代後期〜晩期	----	B	Gak-11792	β線法	3520	90	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
435	7437	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,　L201 地層C(第1泥炭層)	材	T	d	縄文時代中期	----	B	Gak-11791	β線法	2520	110	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
436	7435	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,　M〜N190 地層C(第1泥炭層)	材	T	d	縄文時代中期	----	B	Gak-11789	β線法	3090	130	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
437	7434	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,　L173 地層C(第1泥炭層)	材	T	d	縄文時代中期	----	B	Gak-11788	β線法	3560	120	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
438	7433	13：東京都	中里遺跡	北区上中里田端駅構内	G地区,　M〜N180 地層B3(上部)	材	T	d	縄文時代中期	----	B	Gak-11787	β線法	3420	300	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
439	7428	13：東京都	中里遺跡	北区上中里田端駅構内	E地区,　R125 地層B1(基底部)	材	T	d	縄文時代前期	----	B	Gak-11782	β線法	5080	140	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
440	7429	13：東京都	中里遺跡	北区上中里田端駅構内	E地区,　Q〜R125 地層B1(上部)	貝(ハマグリ)	M	n	縄文時代前期	----	B	Gak-11783	β線法	4200	120	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
441	7431	13：東京都	中里遺跡	北区上中里田端駅構内	E地区,　Q〜R125 地層B3(上部)	貝(カキ)	M	n	縄文時代中期	----	B	Gak-11785	β線法	4860	130	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
442	7430	13：東京都	中里遺跡	北区上中里田端駅構内	E地区,　Q〜R125 地層B3(上部)	貝(カキ)	M	n	縄文時代中期	----	B	Gak-11784	β線法	4760	160	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
443	7432	13：東京都	中里遺跡	北区上中里田端駅構内	G地区,　M〜N180 地層B3(上部)	材	T	d	縄文時代中期	----	B	Gak-11786	β線法	3130	130	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
444	7452	13：東京都	中里遺跡	北区上中里田端駅構内	G地区,　N〜S141〜142 地層D(砂礫層)	材	T	d	古墳時代	----	D	Gak-11806	β線法	1350	120	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
445	7456	13：東京都	中里遺跡	北区上中里田端駅構内	B地区,165ライン　地層C(第2泥炭層)	泥炭	T	j	縄文時代中〜晩期	----	B	Gak-12115	β線法	3220	120	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
446	7458	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,174ライン　地層C(第2泥炭層)	泥炭	T	j	縄文時代中〜晩期	----	B	Gak-12117	β線法	2940	120	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
447	7460	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,175ライン　地層C(第1泥炭層)	泥炭	T	j	縄文時代中期	----	B	Gak-12120	β線法	4180	100	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
448	7464	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,200ライン　地層C(第3泥炭層)	泥炭	T	j	縄文時代後期〜晩期	----	B	Gak-12124	β線法	3040	130	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
449	7468	13：東京都	中里遺跡	北区上中里田端駅構内	M地区　地層B1(基底部)	材	T	d	縄文時代前期	----	B	Gak-12228	β線法	6950	220	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
450	7472	13：東京都	中里遺跡	北区上中里	6層上部	材	T	d	縄文時代	----	B	Gak-16200	β線法	3480	100	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1992	自然科学分析	33-34	----	北区埋蔵文化財調査報告第9集　中里遺跡	北区教育委員会社会教育課
451	7474	13：東京都	中里遺跡	北区上中里	8b層	貝殻	M	n	縄文時代	----	B	Gak-16202	β線法	5050	90	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1992	自然科学分析	33-34	----	北区埋蔵文化財調査報告第9集　中里遺跡	北区教育委員会社会教育課
452	7476	13：東京都	中里遺跡	北区東田端	下部砂層最下部	材(クリ)	T	d	縄文時代中期	----	B	Gak-16471	β線法	4900	90	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1993	中里遺跡自然科学分析報告	57-89	----	北区埋蔵文化財調査報告第11集　中里遺跡　東日本旅客鉄道株式会社東京地域本社ビル地点	北区教育委員会社会教育課
453	7475	13：東京都	中里遺跡	北区東田端	下部砂層最下部	材(ニレ属)	T	d	縄文時代中期	----	B	Gak-16470	β線法	5350	100	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1993	中里遺跡自然科学分析報告	57-89	----	北区埋蔵文化財調査報告第11集　中里遺跡　東日本旅客鉄道株式会社東京地域本社ビル地点	北区教育委員会社会教育課
454	7473	13：東京都	中里遺跡	北区上中里	8a層	貝殻	M	n	縄文時代	----	B	Gak-16201	β線法	4510	100	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1992	自然科学分析	33-34	----	北区埋蔵文化財調査報告第9集　中里遺跡	北区教育委員会社会教育課
455	7471	13：東京都	中里遺跡	北区上中里田端駅構内	田端駅東方　地層C(第1〜3泥炭層上部)	材	T	d	縄文時代中〜晩期	----	B	Gak-12231	β線法	2370	150	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
456	7470	13：東京都	中里遺跡	北区上中里田端駅構内	田端駅東方　地層C(第1〜3泥炭層上部)	材	T	d	縄文時代中〜晩期	----	B	Gak-12230	β線法	3670	130	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
457	7469	13：東京都	中里遺跡	北区上中里田端駅構内	P地区,H'-(-30) 地層A層(上部)	貝(カキ)	M	n	縄文時代前期	----	B	Gak-12229	β線法	5010	130	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
458	7467	13：東京都	中里遺跡	北区上中里田端駅構内	I地区,　N230〜235　地層C(第1･第2泥炭層)	材	T	d	縄文時代中〜晩期	----	B	Gak-12227	β線法	5380	170	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
459	7466	13：東京都	中里遺跡	北区上中里田端駅構内	I地区,　N230〜235　地層C(第1･第2泥炭層)	材	T	d	縄文時代中〜晩期	----	B	Gak-12226	β線法	4480	230	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
460	7465	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,200ライン　地層C(第1泥炭層)	泥炭	T	j	縄文時代中期	----	B	Gak-12125	β線法	3950	150	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
461	7463	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,185ライン　地層B3相当層	泥炭	T	j	縄文時代中期	----	B	Gak-12123	β線法	4440	110	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
462	7462	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,180ライン　地層C(第1泥炭層)	泥炭	T	j	縄文時代中期	----	B	Gak-12122	β線法	4450	110	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
463	7461	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,180ライン　地層C(第3泥炭層)	泥炭	T	j	縄文時代後期〜晩期	----	B	Gak-12121	β線法	4930	180	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
464	7459	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,175ライン　地層C(第2泥炭層)	泥炭	T	j	縄文時代中〜晩期	----	B	Gak-12118	β線法	2760	120	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
465	7457	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,174ライン　地層C(第1泥炭層)	泥炭	T	j	縄文時代中期	----	B	Gak-12116	β線法	3540	160	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
466	7455	13：東京都	中里遺跡	北区上中里田端駅構内	B地区,165ライン　地層C(第1泥炭層)	泥炭	T	j	縄文時代中期	----	B	Gak-12114	β線法	4240	90	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
467	7454	13：東京都	中里遺跡	北区上中里田端駅構内	A地区,130ライン　地層C(第1･第2泥炭層)	泥炭	T	j	縄文時代中〜晩期	----	B	Gak-12113	β線法	1910	90	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
468	7453	13：東京都	中里遺跡	北区上中里田端駅構内	G地区,　Q〜R170  地層F2	材	T	d	近世･近代	----	G,H	Gak-11807	β線法	2780	130	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
469	7427	13：東京都	中里遺跡	北区上中里田端駅構内	E地区,　R125 地層B1(最下部)	材	T	d	縄文時代前期	----	B	Gak-11781	β線法	35900	3130	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
470	7412	13：東京都	中高瀬遺跡	あきる野市草花	SK-55	炭化物(食物残渣)	T	h	縄文時代	堀之内2式	B	Beta-212375	AMS法	3720	40	----	----	----	----	-23.4	地球科学研究所	地球科学研究所	2007	高瀬地区調査に係る炭化材･炭化物14C年代測定	397-398	----	東京都埋蔵文化財センター調査報告第201集　中高瀬遺跡	(財)東京都生涯学習文化財団　東京都埋蔵文化財センター
471	7415	13：東京都	中高瀬遺跡	あきる野市草花	G区6761	炭化物(食物残渣)	T	h	縄文時代	----	B	Beta-214885	AMS法	2800	40	----	----	----	----	-27	地球科学研究所	地球科学研究所	2007	高瀬地区調査に係る炭化材･炭化物14C年代測定	397-398	----	東京都埋蔵文化財センター調査報告第201集　中高瀬遺跡	(財)東京都生涯学習文化財団　東京都埋蔵文化財センター
